subID, vignette,correct_answer, choice1, choice2, choice3, resp, RT, confresp, confRT
2," ""You see a teenage boy offering his classmate money to write his __."""," ""history essay""",book report,history essay,biology paper, 4$,4.466184, 3#,7.543715
2," ""You see a teenage girl at __ mocking a man's stuttering speech."""," ""the local mall""",the post office,a café,the local mall, 4$,5.156735, 2@,8.759218
2," ""You see a teenage girl coming home late and ignoring her parents' __."""," ""strict curfew""",text messages,questions,strict curfew, 3#,7.432553, 3#,8.972347
2," ""You see a teenage girl drinking a _ of her friend's urine on a dare."""," ""cup""",cup,bottle,mug, 4$,4.457677, 3#,6.524629
2," ""You see a teenage girl forbidding friends from ever disagreeing with her __."""," ""in public""",in public,on Facebook,about fashion, 4$,6.099335, 2@,8.708062
2," ""You see a teenage girl openly staring at a __ as she walks past."""," ""disfigured woman""",very large person,burn victim,disfigured woman, 3#,7.846706, 1!,9.112188
2," ""You see a teenage girl wearing a long __ on a hot summer afternoon."""," ""trench coat""",trench coat,wool coat,bath robe, 1!,3.461662, 3#,5.841947
2," ""You see a teenage male in a dorm bathroom secretly using a stranger's __."""," ""toothbrush""",razor,toothbrush,towel, 2@,4.206848, 3#,5.802007
2," ""You see a teenage woman carrying an open umbrella on a cloudless day in __."""," ""October""",October,November,September, 4$,7.834352, 1!,11.087603
2," ""You see a teenager at a cafeteria forcing a younger student to__."""," ""pay for her lunch""",sit somewhere else,get her a soda,pay for her lunch, 3#,6.303386, 3#,9.157547
2," ""You see a teenager urinating in the wave pool at a crowded __ park."""," ""amusement""",theme,water,amusement, 2@,5.473401, 2@,6.763709
2," ""You see a teenager wearing all of their clothes inside out while __."""," ""at a movie theater""",at the mall,at the library,at a movie theater, 4$,5.973648, 1!,8.334275
2," ""You see a tenant bribing a landlord to be the first to get their apartment __."""," ""repainted""",carpeted,remodeled,repainted, 3#,4.736638, 3#,6.192169
2," ""You see a track coach quitting in the middle of the season after __."""," ""winning the lottery""",inheriting lots of money,winning the lottery,marrying a wealthy man, 4$,5.780041, 3#,7.281862
2," ""You see a US __ cheering as a Chinese foe beats his teammate to win the gold."""," ""swimmer""",wrestler,swimmer,gymnast, 2@,6.265714, 3#,7.436781
2," ""You see a very drunk woman dancing on a table while men laugh and __."""," ""cheer her on""",take pictures,buy her drinks,cheer her on, 2@,5.687789, 2@,7.667928
2," ""You see a very drunk woman making out with multiple strangers __."""," ""on the city bus""",at the subway stop,on the city bus,at the gas station, 2@,10.448525, 2@,12.101636
2," ""You see a wife hitting her husband on the side of his head for __."""," ""coming home late""",not paying attention,coming home late,not doing the dishes, 3#,5.135369, 2@,8.339534
2," ""You see a wife turning in her husband to the police for __."""," ""overdue parking fines""",littering on the sidewalk,overdue parking fines,illegal music downloads, 4$,5.646948, 3#,7.491101
2," ""You see a woman __ before her main entree arrives on the table."""," ""eating dessert""",eating dessert,having a breath mint,paying for her meal, 1!,4.339445, 3#,6.981862
2," ""You see a woman __ when the judge walks into the courtroom."""," ""refusing to stand""",refusing to stand,talking on her phone,raise her middle finger, 4$,5.759594, 3#,7.813365
2," ""You see a woman __ with the word ""goodbye"" instead of ""hello."""""," ""answering a phone call""",answering a phone call,typing an e-mail,beginning a letter, 1!,6.051255, 3#,7.706367
2," ""You see a woman accidentally knocking over a child while __ on her cell phone."""," ""talking""",playing a game,talking,texting, 2@,9.227861, 2@,12.475781
2," ""You see a woman buying herself an expensive __ with a stolen credit card."""," ""necklace""",bracelet,necklace,pair of earrings, 4$,5.759999, 3#,8.656643
2," ""You see a woman clearly avoiding sitting next to an obese woman __."""," ""on the bus""",on the bus,in a theater,in the lobby, 1!,4.586278, 3#,5.94965
2," ""You see a woman collecting child support for a __ who no longer lives with her."""," ""girl""",girl,teenager,child, 4$,4.288728, 1!,6.555554
2," ""You see a woman commenting out loud about how fat another woman looks in her __ ."""," ""jeans""",skirt,jeans,swimsuit, 2@,6.023079, 2@,8.18994
2," ""You see a woman continuing to wear a __ inside her apartment complex."""," ""large sun hat""",big shady visor,pair of sunglasses,large sun hat, 2@,9.687267, 2@,11.133855
2," ""You see a woman drinking her entire cup of __ using a stirring spoon."""," ""coffee""",tea,coffee,cocoa, 2@,5.747219, 3#,7.2603
2," ""You see a woman driving recklessly through a school zone to __."""," ""make a meeting""",get to a luncheon,make a meeting,make an appointment, 4$,4.337915, 3#,6.065735
2," ""You see a woman getting hired only because her father __ with the boss."""," ""is close friends""",plays golf,is close friends,went to college, 2@,6.447848, 3#,9.859209
2," ""You see a woman happily admitting that she has not paid any taxes in over __ years."""," ""ten""",five,two,ten, 4$,4.928937, 2@,8.266154
2," ""You see a woman having intimate relations with a recently deceased __."""," ""loved one""",close friend,stranger,loved one, 1!,7.84075, 2@,10.924186
2," ""You see a woman having sex with an extremely obese man in exchange for __."""," ""fifteen dollars""",fifteen dollars,twenty dollars,twenty-five dollars, 3#,9.053741, 1!,10.333374
2," ""You see a woman insulting a severely obese man who is sitting in the __."""," ""park""",park,doctor's office,airport, 1!,5.423119, 2@,6.529145
2," ""You see a woman laughing out loud about a young man's __."""," ""receding hairline""",graying hair,receding hairline,bald spot, 4$,4.594384, 2@,7.385792
2," ""You see a woman laughing with her friend about __ of her family members."""," ""the poor taste""",embarrassing stories,the poor taste,the silly traditions, 4$,6.168306, 3#,7.632783
2," ""You see a woman lying about the number of __ days she has taken at work."""," ""vacation""",vacation,sick,personal, 2@,6.647285, 2@,7.934883
2," ""You see a woman pressuring her daughter to become a famous __."""," ""evening news anchor""",ice skater,evening news anchor,ballet dancer, 1!,7.000592, 1!,8.269797
2," ""You see a woman slapping another woman who she is arguing with in the __."""," ""parking lot""",grocery store,parking lot,hotel lobby, 1!,7.994731, 2@,9.32904
2," ""You see a woman snatching away her dog's food for making a mess in the __."""," ""living room""",bedroom,kitchen,living room, 2@,4.148501, 3#,5.497974
2," ""You see a woman spanking her child with a __ for getting bad grades in school."""," ""spatula""",spatula,rolling pin,wooden spoon, 1!,5.388705, 3#,8.60846
2," ""You see a woman squeezing a baby's __ hard because it will not stop crying."""," ""arm""",shoulder,foot,arm, 4$,5.692209, 2@,7.762059
2," ""You see a woman swerving her car in order to intentionally run over a __."""," ""squirrel""",possum,squirrel,snake, 2@,6.946646, 1!,8.422711
2," ""You see a woman taking credit at work for an idea she overheard __."""," ""at lunch""",in the hall,at lunch,in the break room, 4$,5.353909, 3#,7.300247
2," ""You see a woman telling a group of homeless people on the __ to go find jobs."""," ""subway""",subway,curb,street, 4$,6.69615, 2@,9.468366
2," ""You see a woman throwing a stapler at her colleague who is __ during her talk."""," ""snoring""",snoring,laughing,whispering, 1!,7.230091, 3#,8.710101
2," ""You see a woman throwing her cat across the room for __."""," ""scratching the furniture""",not using the litterbox,jumping on the bed,scratching the furniture, 3#,6.13576, 3#,7.523116
2," ""You see a woman tripping someone in order to get the last __ in her size."""," ""shirt""",pair of shoes,shirt,jacket, 4$,5.158033, 2@,8.114308
2," ""You see a woman using a fork to eat a bowl of __ ice cream and marshmallows."""," ""vanilla""",vanilla,strawberry,chocolate, 1!,5.800256, 3#,7.561998
2," ""You see a woman watching __ on television in black-and-white instead of color."""," ""a game""",the soap opera,a game,the news, 2@,7.097264, 2@,8.878682
2," ""You see a woman with __ hair riding a unicycle to work every day."""," ""blue and orange""",purple and pink,blue and orange,green and black, 4$,7.296441, 1!,11.10957
2," ""You see a young adult openly refusing to follow __ dress code."""," ""her school's""",her school's,her workplace's,her religion's, 1!,5.727054, 2@,6.948856
2," ""You see a young boy teasing another boy because his father recently __."""," ""passed away""",passed away,divorced his mother,was deployed overseas, 1!,9.789468, 2@,11.788105
2," ""You see a zoo trainer jabbing __ to get it to entertain his customers."""," ""a dolphin""",a dolphin,a panda,an elephant, 1!,4.435953, 3#,5.715173
2," ""You see an American __ publicly defecting to Iran for a large sum of money."""," ""celebrity""",newscaster,talk show host,celebrity, 4$,9.593048, 2@,12.141571
2," ""You see an American telling foreigners that the US is __ force in the world."""," ""an evil""",a destructive,an evil,a negative, 2@,3.672417, 3#,6.344599
2," ""You see an employee at a morgue eating his __ pizza off of a dead body."""," ""pepperoni""",pepperoni,sausage,cheese, 1!,4.951027, 3#,7.279673
2," ""You see an employee joking with competitors about how bad his company did __."""," ""last year""",last year,this month,this quarter, 3#,4.946711, 3#,6.058171
2," ""You see an employee lying about how many hours she worked __."""," ""during the week""",overtime,during the week,over the pay period, 2@,4.225464, 3#,5.867841
2," ""You see an employee receiving __ for work that was really done by others."""," ""a bonus""",an award,praise,a bonus, 4$,6.903554, 2@,9.541491
2," ""You see an employee trying to undermine her boss's __."""," ""ideas""",financial strategy,ideas,credibility, 2@,5.29185, 1!,6.678408
2," ""You see an intern disobeying an order to dress professionally and __."""," ""comb his hair""",shave,comb his hair,get a haircut, 3#,5.552493, 2@,6.856805
2," ""You see boys making fun of a girl's tattered clothes as she __."""," ""boards the bus""",enters the lunchroom,sits at her desk,boards the bus, 4$,6.011287, 3#,8.051987
2," ""You see children ignoring their __ orders to get ready to go to school."""," ""mom's""",mom's,dad's,grandmother's, 2@,6.670587, 1!,7.719445
2," ""You see someone at the __ lifting free weights in nice business clothes."""," ""school gym""",rec center,school gym,health club, 1!,6.704812, 3#,8.040987
2," ""You see someone driving around in a dirty __ that has not been washed recently."""," ""car""",sedan,minivan,car, 1!,6.391601, 2@,8.18981
2," ""You see someone giving the finger to the __ back is turned."""," ""boss, while the boss's""","dentist, while the dentist's","policeman, while the policeman's","boss, while the boss's", 2@,6.491902, 3#,9.280748
2," ""You see someone leaving his dog outside in the rain after it dug in the __."""," ""trash""",trash,vegetable garden,sandbox, 1!,7.135552, 2@,8.969406
2," ""You see someone reading the ending of a __ novel before reading the beginning."""," ""spy""",fantasy,spy,mystery, 2@,9.809714, 2@,11.25769
2," ""You see someone using an old __ and refusing to go buy a new one."""," ""rotary phone""",rotary phone,laptop,printer, 1!,2.406661, 3#,4.503237
2," ""You see someone wearing a __ costume on a day that is not Halloween."""," ""superhero""",zombie,superhero,pirate, 4$,4.768582, 3#,6.284316
2," ""You see the class __ saying on TV that her rival college is a better school."""," ""president""",secretary,president,treasurer, 2@,6.209971, 3#,8.73896
2," ""You see the coach's wife __ for her husband's rival team."""," ""sponsoring a bake sale""",sponsoring a bake sale,cheering loudly,raising money, 2@,7.363989, 3#,8.604513
2," ""You see the head of a law firm ordering her juniors to __ every day."""," ""shine her shoes""",wash her car,get her coffee,shine her shoes, 4$,11.502241, 2@,14.325248
